building_id,log_date,temperature_celsius,occupancy_level,air_quality_index
3,2025-01-05,25.54,Low,57
3,2025-01-06,29.11,High,57
3,2025-01-07,29.54,Low,129
3,2025-01-08,18.09,Medium,91
3,2025-01-09,19.71,Low,75
3,2025-01-10,28.86,Medium,94
3,2025-01-11,19.36,High,140
3,2025-01-12,27.32,High,88
3,2025-01-13,16.94,Medium,147
3,2025-01-14,17.39,High,137
3,2025-01-15,20.01,Medium,89
3,2025-01-16,29.32,Medium,131
3,2025-01-17,28.33,Medium,106
3,2025-01-18,18.82,High,74
3,2025-01-19,24.59,Low,135
3,2025-01-20,26.47,Low,113
3,2025-01-21,27.6,Medium,79
3,2025-01-22,17.59,High,121
3,2025-01-23,24.69,Low,94
3,2025-01-24,29.44,Low,66
3,2025-01-25,16.05,Low,112
3,2025-01-26,29.94,Low,80
3,2025-01-27,20.93,High,94
3,2025-01-28,16.3,Medium,58
3,2025-01-29,22.2,High,91
3,2025-01-30,16.65,Medium,78
4,2025-01-01,19.45,Medium,132
4,2025-01-02,22.3,Medium,85
4,2025-01-03,19.81,Medium,75
4,2025-01-04,27.56,High,51
4,2025-01-05,28.58,Medium,100
4,2025-01-06,27.23,Medium,110
4,2025-01-07,26.86,High,130
4,2025-01-08,17.48,Low,72
4,2025-01-09,28.99,Medium,97
4,2025-01-10,26.26,Low,111
4,2025-01-11,27.26,Low,103
4,2025-01-12,26.99,High,88
4,2025-01-13,28.75,Medium,99
4,2025-01-14,17.6,Medium,107
4,2025-01-15,18.55,High,101
4,2025-01-16,16.92,High,78
4,2025-01-17,17.96,High,142
4,2025-01-18,29.65,Medium,118
4,2025-01-19,16.15,High,127
4,2025-01-20,22.69,Low,137
4,2025-01-21,28.51,High,103
4,2025-01-22,21.06,High,65
4,2025-01-23,27.12,High,97
4,2025-01-24,23.69,Low,56
4,2025-01-25,22.66,Low,121
4,2025-01-26,20.85,Medium,124
4,2025-01-27,22.94,Medium,108
4,2025-01-28,17.39,High,137
4,2025-01-29,19.09,Low,80
4,2025-01-30,17.29,Low,114
5,2025-01-01,20.87,Medium,65
5,2025-01-02,17.44,Medium,111
5,2025-01-03,22.43,High,119
5,2025-01-04,20.39,High,138
5,2025-01-05,21.77,Low,91
5,2025-01-06,22.94,High,93
5,2025-01-07,23.76,Medium,150
5,2025-01-08,23.16,High,113
5,2025-01-09,15.55,Low,82
5,2025-01-10,19.03,Medium,97
5,2025-01-11,20.72,Medium,83
5,2025-01-12,26.55,Low,62
5,2025-01-13,27.56,Low,123
5,2025-01-14,29.61,High,83
5,2025-01-15,25.83,Medium,143
5,2025-01-16,29.72,Medium,73
5,2025-01-17,26.11,Low,135
5,2025-01-18,22.96,Low,115
5,2025-01-19,17.14,Low,76
5,2025-01-20,15.06,Low,71
5,2025-01-21,25.69,High,123
5,2025-01-22,23.6,Medium,134
5,2025-01-23,28.6,High,137
5,2025-01-24,21.74,Low,56
5,2025-01-25,20.44,Medium,67
5,2025-01-26,24.56,High,148
5,2025-01-27,15.23,High,100
5,2025-01-28,26.77,Low,129
5,2025-01-29,20.25,High,71
5,2025-01-30,24.98,High,141
6,2025-01-01,15.56,Low,120
6,2025-01-02,18.34,Low,58
6,2025-01-03,22.42,Low,78
6,2025-01-04,23.51,High,71
6,2025-01-05,24.11,High,57
6,2025-01-06,24.66,High,126
6,2025-01-07,19.83,Low,89
6,2025-01-08,18.03,Low,149
6,2025-01-09,15.08,High,81
6,2025-01-10,28.26,Low,107
6,2025-01-11,26.55,Low,103
6,2025-01-12,29.41,Low,53
6,2025-01-13,26.06,High,138
6,2025-01-14,22.53,Low,62
6,2025-01-15,29.07,High,81
6,2025-01-16,24.68,Medium,53
6,2025-01-17,25.52,Low,54
6,2025-01-18,16.44,Medium,75
6,2025-01-19,17.18,High,64
6,2025-01-20,23.91,Low,105
6,2025-01-21,23.79,High,85
6,2025-01-22,19.48,Medium,68
6,2025-01-23,26.88,Medium,106
6,2025-01-24,19.86,Low,77
6,2025-01-25,25.61,Medium,63
6,2025-01-26,22.69,High,57
6,2025-01-27,23.56,Low,144
6,2025-01-28,19.49,Low,59
6,2025-01-29,28.9,Medium,95
6,2025-01-30,27.55,Low,88
7,2025-01-01,29.87,High,61
7,2025-01-02,16.01,Low,92
7,2025-01-03,15.97,Medium,64
7,2025-01-04,22.96,Low,134
7,2025-01-05,26.62,High,150
7,2025-01-06,16.56,Low,150
7,2025-01-07,25.02,High,147
7,2025-01-08,24.41,Medium,112
7,2025-01-09,15.87,Medium,81
7,2025-01-10,28.22,High,99
7,2025-01-11,24.37,High,75
7,2025-01-12,18.77,Medium,70
7,2025-01-13,27.16,Low,101
7,2025-01-14,17.78,Low,148
7,2025-01-15,18.24,Medium,107
7,2025-01-16,25.1,High,94
7,2025-01-17,17.32,Medium,54
7,2025-01-18,28.58,High,113
7,2025-01-19,26.89,High,110
7,2025-01-20,17.78,High,61
7,2025-01-21,26.87,High,123
7,2025-01-22,24.36,High,150
7,2025-01-23,25.82,Low,118
7,2025-01-24,26.84,Medium,83
7,2025-01-25,29.75,Medium,129
7,2025-01-26,21.77,Low,79
7,2025-01-27,20.7,High,66
7,2025-01-28,28.0,High,74
7,2025-01-29,18.09,Medium,147
7,2025-01-30,22.61,High,138
8,2025-01-01,24.24,Medium,71
8,2025-01-02,20.3,Low,130
8,2025-01-03,27.95,High,150
8,2025-01-04,26.12,Low,129
8,2025-01-05,28.17,Medium,62
8,2025-01-06,24.07,Medium,63
8,2025-01-07,22.52,High,140
8,2025-01-08,22.13,High,68
8,2025-01-09,18.57,High,122
8,2025-01-10,18.17,Medium,123
8,2025-01-11,26.7,High,95
8,2025-01-12,15.34,High,101
8,2025-01-13,19.23,Low,74
8,2025-01-14,17.18,High,59
8,2025-01-15,27.11,Low,73
8,2025-01-16,21.9,High,136
8,2025-01-17,25.93,High,74
8,2025-01-18,20.93,High,77
8,2025-01-19,18.63,High,94
8,2025-01-20,22.63,High,115
8,2025-01-21,26.27,Low,94
8,2025-01-22,21.27,Low,108
8,2025-01-23,26.92,Medium,58
8,2025-01-24,22.59,Low,90
8,2025-01-25,15.99,Medium,60
8,2025-01-26,16.41,Low,138
8,2025-01-27,24.31,High,79
8,2025-01-28,23.06,Medium,69
8,2025-01-29,20.36,Medium,145
8,2025-01-30,20.36,High,92
9,2025-01-01,28.04,Medium,85
9,2025-01-02,23.65,Medium,58
9,2025-01-03,21.94,Low,144
9,2025-01-04,15.66,Low,132
9,2025-01-05,23.62,Low,128
9,2025-01-06,17.91,High,150
9,2025-01-07,21.33,Medium,71
9,2025-01-08,22.14,High,62
9,2025-01-09,21.92,Low,89
9,2025-01-10,22.9,Low,57
9,2025-01-11,18.31,Low,87
9,2025-01-12,21.14,Medium,92
9,2025-01-13,27.05,High,88
9,2025-01-14,24.31,Medium,78
9,2025-01-15,23.53,Low,119
9,2025-01-16,19.48,Medium,116
9,2025-01-17,23.22,Low,125
9,2025-01-18,18.92,Medium,63
9,2025-01-19,28.55,Low,65
9,2025-01-20,25.18,Medium,79
9,2025-01-21,22.16,Medium,58
9,2025-01-22,29.91,Low,95
9,2025-01-23,27.18,Low,56
9,2025-01-24,17.46,Medium,120
9,2025-01-25,19.65,Low,127
9,2025-01-26,26.17,Medium,143
9,2025-01-27,27.07,Low,126
9,2025-01-28,21.9,High,78
9,2025-01-29,19.58,Low,140
9,2025-01-30,23.36,Low,111
10,2025-01-01,21.02,Medium,78
10,2025-01-02,17.2,Low,90
10,2025-01-03,26.15,Low,61
10,2025-01-04,26.56,Medium,75
10,2025-01-05,21.35,Medium,135
10,2025-01-06,22.29,Medium,59
10,2025-01-07,15.19,High,95
10,2025-01-08,15.9,Medium,90
10,2025-01-09,27.12,Low,147
10,2025-01-10,16.59,Medium,60
10,2025-01-11,21.04,Low,135
10,2025-01-12,27.84,Medium,72
10,2025-01-13,28.91,Low,100
10,2025-01-14,29.23,High,61
10,2025-01-15,19.77,Medium,93
10,2025-01-16,22.74,Medium,59
10,2025-01-17,24.8,Medium,87
10,2025-01-18,15.24,Medium,124
10,2025-01-19,22.21,Medium,126
10,2025-01-20,26.01,Medium,111
10,2025-01-21,21.45,Low,76
10,2025-01-22,24.7,Low,75
10,2025-01-23,26.85,High,63
10,2025-01-24,17.18,Low,58
10,2025-01-25,15.64,High,125
10,2025-01-26,19.03,Medium,132
10,2025-01-27,19.58,Medium,73
10,2025-01-28,19.41,Medium,84
10,2025-01-29,24.53,High,124
10,2025-01-30,23.18,Medium,89
11,2025-01-01,20.59,Medium,143
11,2025-01-02,25.26,Medium,142
11,2025-01-03,22.84,Medium,117
11,2025-01-04,26.84,Low,95
11,2025-01-05,20.97,Low,120
11,2025-01-06,27.14,Medium,126
11,2025-01-07,17.68,High,92
11,2025-01-08,25.6,High,69
11,2025-01-09,15.04,High,57
11,2025-01-10,20.21,Low,88
11,2025-01-11,28.43,Medium,83
11,2025-01-12,21.55,High,136
11,2025-01-13,25.69,Medium,90
11,2025-01-14,18.03,High,58
11,2025-01-15,24.63,High,54
11,2025-01-16,27.51,High,54
11,2025-01-17,27.07,High,134
11,2025-01-18,15.88,Medium,89
11,2025-01-19,18.93,Low,108
11,2025-01-20,22.04,Medium,100
11,2025-01-21,26.48,High,99
11,2025-01-22,27.04,Medium,115
11,2025-01-23,29.5,Low,95
11,2025-01-24,22.51,Medium,141
11,2025-01-25,17.4,Low,116
11,2025-01-26,22.32,High,91
11,2025-01-27,28.88,Medium,79
11,2025-01-28,29.28,Medium,62
11,2025-01-29,16.29,High,74
11,2025-01-30,18.11,Medium,107
12,2025-01-01,29.1,Low,102
12,2025-01-02,24.27,Medium,84
12,2025-01-03,20.34,Low,56
12,2025-01-04,25.69,High,103
12,2025-01-05,26.52,High,110
12,2025-01-06,22.0,High,82
12,2025-01-07,24.4,Low,144
12,2025-01-08,28.21,High,96
12,2025-01-09,21.54,High,139
12,2025-01-10,24.66,High,58
12,2025-01-11,17.64,Low,67
12,2025-01-12,18.82,High,60
12,2025-01-13,16.7,Medium,77
12,2025-01-14,25.81,High,64
12,2025-01-15,21.63,Low,148
12,2025-01-16,16.89,Low,59
12,2025-01-17,27.95,Low,62
12,2025-01-18,23.13,High,148
12,2025-01-19,25.89,Low,63
12,2025-01-20,17.7,Low,131
12,2025-01-21,25.89,Medium,54
12,2025-01-22,29.18,Low,117
12,2025-01-23,19.02,Low,129
12,2025-01-24,26.05,High,52
12,2025-01-25,26.44,Low,85
12,2025-01-26,16.23,High,98
12,2025-01-27,22.97,High,60
12,2025-01-28,25.14,Medium,105
12,2025-01-29,26.36,Low,73
12,2025-01-30,28.78,Medium,60
13,2025-01-01,19.22,Medium,94
13,2025-01-02,24.65,Low,141
13,2025-01-03,26.28,Low,101
13,2025-01-04,21.89,High,54
13,2025-01-05,17.33,Low,150
13,2025-01-06,29.24,High,58
13,2025-01-07,27.58,Low,115
13,2025-01-08,17.51,Medium,92
13,2025-01-09,27.17,High,77
13,2025-01-10,17.68,Low,127
13,2025-01-11,27.16,Medium,143
13,2025-01-12,17.75,Medium,95
13,2025-01-13,27.07,High,138
13,2025-01-14,27.3,High,129
13,2025-01-15,24.5,Low,139
13,2025-01-16,20.95,Medium,141
13,2025-01-17,24.68,Low,138
13,2025-01-18,21.82,Low,128
13,2025-01-19,20.74,High,144
13,2025-01-20,29.41,High,101
13,2025-01-21,19.32,Medium,99
13,2025-01-22,25.32,Low,137
13,2025-01-23,28.09,Low,56
13,2025-01-24,15.66,Low,131
13,2025-01-25,26.67,Medium,129
13,2025-01-26,25.99,Low,66
13,2025-01-27,27.09,Low,99
13,2025-01-28,29.84,High,122
13,2025-01-29,19.66,Medium,142
13,2025-01-30,16.55,Low,58
14,2025-01-01,22.19,Low,120
14,2025-01-02,19.0,Medium,111
14,2025-01-03,23.46,Low,125
14,2025-01-04,24.1,Low,74
14,2025-01-05,25.02,High,112
14,2025-01-06,16.31,High,148
14,2025-01-07,28.06,Medium,62
14,2025-01-08,25.48,Low,59
14,2025-01-09,16.2,High,133
14,2025-01-10,22.37,High,136
14,2025-01-11,25.84,Medium,87
14,2025-01-12,26.37,Low,95
14,2025-01-13,19.7,High,138
14,2025-01-14,22.83,Medium,64
14,2025-01-15,21.51,Medium,102
14,2025-01-16,20.12,Medium,143
14,2025-01-17,25.55,Low,140
14,2025-01-18,20.03,Medium,104
14,2025-01-19,27.78,Medium,139
14,2025-01-20,29.52,Low,74
14,2025-01-21,20.52,Medium,132
14,2025-01-22,28.43,Low,131
14,2025-01-23,21.47,Medium,120
14,2025-01-24,21.58,Low,141
14,2025-01-25,28.23,Medium,50
14,2025-01-26,21.03,Medium,64
14,2025-01-27,24.93,High,102
14,2025-01-28,24.75,High,126
14,2025-01-29,22.6,Medium,55
14,2025-01-30,26.53,Medium,65
15,2025-01-01,20.79,Low,91
15,2025-01-02,26.83,Medium,139
15,2025-01-03,28.82,Low,131
15,2025-01-04,26.14,High,91
15,2025-01-05,28.92,High,69
15,2025-01-06,16.13,High,55
15,2025-01-07,27.18,Low,116
15,2025-01-08,15.05,Medium,75
15,2025-01-09,17.26,High,73
15,2025-01-10,29.77,High,81
15,2025-01-11,24.08,Low,64
15,2025-01-12,21.87,High,89
15,2025-01-13,28.73,Medium,116
15,2025-01-14,18.12,Low,95
15,2025-01-15,22.29,High,50
15,2025-01-16,18.88,Low,129
15,2025-01-17,22.73,Medium,148
15,2025-01-18,27.23,Low,99
15,2025-01-19,18.68,High,104
15,2025-01-20,19.44,Low,131
15,2025-01-21,23.14,Low,145
15,2025-01-22,15.06,Medium,139
15,2025-01-23,20.08,Low,100
15,2025-01-24,23.66,Medium,80
15,2025-01-25,15.44,Medium,65
15,2025-01-26,21.01,Low,85
15,2025-01-27,17.39,High,101
15,2025-01-28,25.87,Medium,141
15,2025-01-29,29.43,Medium,64
15,2025-01-30,25.05,Medium,135
16,2025-01-01,17.66,Low,105
16,2025-01-02,21.64,Medium,111
16,2025-01-03,26.91,Medium,62
16,2025-01-04,20.42,Low,143
16,2025-01-05,16.98,Low,141
16,2025-01-06,15.79,Low,146
16,2025-01-07,27.79,Medium,64
16,2025-01-08,21.39,High,70
16,2025-01-09,28.3,High,140
16,2025-01-10,20.74,Medium,144
16,2025-01-11,17.91,Medium,127
16,2025-01-12,28.79,Medium,66
16,2025-01-13,21.37,High,96
16,2025-01-14,19.89,Low,147
16,2025-01-15,22.35,High,66
16,2025-01-16,26.29,High,79
16,2025-01-17,15.99,High,79
16,2025-01-18,24.7,Medium,112
16,2025-01-19,20.86,Medium,109
16,2025-01-20,22.83,High,74
16,2025-01-21,22.74,High,76
16,2025-01-22,15.88,High,71
16,2025-01-23,21.78,Low,142
16,2025-01-24,17.75,High,100
16,2025-01-25,23.63,Medium,139
16,2025-01-26,27.64,Low,81
16,2025-01-27,27.06,High,90
16,2025-01-28,18.24,High,111
16,2025-01-29,17.34,Low,56
16,2025-01-30,28.89,Low,109
17,2025-01-01,27.61,High,139
17,2025-01-02,23.55,Medium,150
17,2025-01-03,19.45,Low,113
17,2025-01-04,19.19,High,97
17,2025-01-05,23.99,High,105
17,2025-01-06,27.58,High,139
17,2025-01-07,28.07,Low,81
17,2025-01-08,21.4,Medium,138
17,2025-01-09,15.29,Low,134
17,2025-01-10,26.79,High,89
17,2025-01-11,18.86,Medium,120
17,2025-01-12,28.85,Medium,142
17,2025-01-13,16.18,Low,109
17,2025-01-14,15.7,Low,69
17,2025-01-15,16.5,High,74
17,2025-01-16,22.8,Low,56
17,2025-01-17,29.89,High,113
17,2025-01-18,15.85,Medium,51
17,2025-01-19,25.69,Medium,108
17,2025-01-20,28.12,High,93
17,2025-01-21,25.65,Low,127
17,2025-01-22,20.65,High,71
17,2025-01-23,26.95,Medium,65
17,2025-01-24,19.9,Low,66
17,2025-01-25,22.9,High,98
17,2025-01-26,24.11,High,143
17,2025-01-27,20.88,High,60
17,2025-01-28,20.79,Medium,79
17,2025-01-29,16.22,Medium,135
17,2025-01-30,29.61,Low,93
18,2025-01-01,21.68,Medium,56
18,2025-01-02,23.01,High,110
18,2025-01-03,16.17,Medium,113
18,2025-01-04,21.74,Medium,75
18,2025-01-05,16.97,Medium,118
18,2025-01-06,16.35,High,63
18,2025-01-07,22.34,High,60
18,2025-01-08,21.12,Medium,117
18,2025-01-09,20.27,Medium,106
18,2025-01-10,17.94,Low,119
18,2025-01-11,15.42,Medium,90
18,2025-01-12,22.44,Medium,150
18,2025-01-13,22.56,High,136
18,2025-01-14,20.18,High,111
18,2025-01-15,24.45,High,150
18,2025-01-16,25.93,High,60
18,2025-01-17,16.29,Low,91
18,2025-01-18,22.08,High,108
18,2025-01-19,18.76,High,77
18,2025-01-20,26.98,High,84
18,2025-01-21,19.01,Low,102
18,2025-01-22,21.83,Low,106
18,2025-01-23,19.38,Low,75
18,2025-01-24,26.48,Medium,58
18,2025-01-25,29.62,Low,136
18,2025-01-26,15.2,Medium,123
18,2025-01-27,20.4,High,147
18,2025-01-28,20.57,Low,148
18,2025-01-29,21.93,Low,56
18,2025-01-30,22.38,High,110
19,2025-01-01,19.34,Medium,85
19,2025-01-02,26.84,High,67
19,2025-01-03,26.87,High,100
19,2025-01-04,18.91,Medium,115
19,2025-01-05,22.71,Medium,145
19,2025-01-06,29.98,Medium,108
19,2025-01-07,28.03,Medium,52
19,2025-01-08,21.58,Low,68
19,2025-01-09,25.43,Medium,52
19,2025-01-10,29.39,Low,101
19,2025-01-11,30.0,High,60
19,2025-01-12,27.96,Medium,94
19,2025-01-13,17.33,Low,54
19,2025-01-14,22.43,High,112
19,2025-01-15,22.11,Low,101
19,2025-01-16,26.79,Low,129
19,2025-01-17,18.51,High,69
19,2025-01-18,26.08,Medium,106
19,2025-01-19,18.44,Low,54
19,2025-01-20,20.15,Medium,138
19,2025-01-21,17.0,Low,120
19,2025-01-22,19.3,High,60
19,2025-01-23,21.96,Low,121
19,2025-01-24,18.03,Low,125
19,2025-01-25,15.78,High,79
19,2025-01-26,28.41,Low,65
19,2025-01-27,17.33,Medium,148
19,2025-01-28,22.21,High,54
19,2025-01-29,20.5,High,100
19,2025-01-30,23.05,Low,51
20,2025-01-01,15.71,Medium,71
20,2025-01-02,15.43,High,81
20,2025-01-03,27.82,Low,102
20,2025-01-04,16.85,High,100
20,2025-01-05,17.32,Low,69
20,2025-01-06,17.55,High,123
20,2025-01-07,26.17,High,98
20,2025-01-08,19.47,Low,89
20,2025-01-09,25.35,Low,114
20,2025-01-10,27.8,Medium,76
20,2025-01-11,16.65,Low,63
20,2025-01-12,26.34,Medium,127
20,2025-01-13,26.7,High,150
20,2025-01-14,16.46,Low,103
20,2025-01-15,24.65,Low,144
20,2025-01-16,28.09,High,107
20,2025-01-17,26.26,Medium,97
20,2025-01-18,22.02,Low,83
20,2025-01-19,25.76,Medium,66
20,2025-01-20,15.93,High,99
20,2025-01-21,22.59,Medium,57
20,2025-01-22,29.43,Low,84
20,2025-01-23,18.78,Medium,97
20,2025-01-24,24.12,Medium,124
20,2025-01-25,28.69,Low,122
20,2025-01-26,21.92,Low,107
20,2025-01-27,22.77,Medium,109
20,2025-01-28,15.04,High,70
20,2025-01-29,25.73,Low,143
20,2025-01-30,20.79,High,115
21,2025-01-01,18.76,Low,59
21,2025-01-02,16.78,Low,58
21,2025-01-03,18.3,High,73
21,2025-01-04,19.48,Low,147
21,2025-01-05,20.98,High,63
21,2025-01-06,26.83,Low,104
21,2025-01-07,18.7,High,133
21,2025-01-08,19.85,High,119
21,2025-01-09,20.97,High,58
21,2025-01-10,25.53,Medium,65
21,2025-01-11,17.66,High,143
21,2025-01-12,18.31,High,99
21,2025-01-13,22.13,High,90
21,2025-01-14,19.83,High,74
21,2025-01-15,25.94,Medium,107
21,2025-01-16,24.18,Medium,129
21,2025-01-17,23.9,Medium,138
21,2025-01-18,23.19,Low,139
21,2025-01-19,28.44,High,133
21,2025-01-20,27.81,Medium,130
21,2025-01-21,25.97,Medium,108
21,2025-01-22,23.9,Low,97
21,2025-01-23,28.18,Medium,137
21,2025-01-24,17.7,Medium,78
21,2025-01-25,22.39,High,76
21,2025-01-26,26.58,High,128
21,2025-01-27,25.28,Medium,134
21,2025-01-28,15.39,Low,77
21,2025-01-29,25.47,Medium,99
21,2025-01-30,19.85,Low,76
22,2025-01-01,20.34,Medium,127
22,2025-01-02,21.44,Medium,111
22,2025-01-03,29.93,Low,112
22,2025-01-04,23.2,Low,128
22,2025-01-05,21.32,Low,118
22,2025-01-06,27.46,Low,144
22,2025-01-07,17.55,High,106
22,2025-01-08,24.86,Low,78
22,2025-01-09,17.73,High,57
22,2025-01-10,19.06,Low,137
22,2025-01-11,24.01,High,90
22,2025-01-12,25.52,High,112
22,2025-01-13,27.4,Medium,99
22,2025-01-14,18.34,Medium,87
22,2025-01-15,27.29,High,68
22,2025-01-16,21.9,Medium,114
22,2025-01-17,25.88,Medium,77
22,2025-01-18,27.71,Medium,137
22,2025-01-19,15.63,Medium,107
22,2025-01-20,25.05,Low,133
22,2025-01-21,28.73,High,109
22,2025-01-22,26.41,Medium,63
22,2025-01-23,29.12,High,74
22,2025-01-24,25.1,Medium,89
22,2025-01-25,17.03,High,135
22,2025-01-26,24.29,High,145
22,2025-01-27,17.36,Medium,93
22,2025-01-28,18.82,Medium,54
22,2025-01-29,22.54,Medium,98
22,2025-01-30,29.26,Low,61
23,2025-01-01,16.99,Low,56
23,2025-01-02,26.68,Medium,96
23,2025-01-03,17.67,Medium,92
23,2025-01-04,24.39,High,127
23,2025-01-05,15.74,High,146
23,2025-01-06,19.68,Low,76
23,2025-01-07,27.65,Low,146
23,2025-01-08,23.41,High,105
23,2025-01-09,21.21,Low,87
23,2025-01-10,26.36,Medium,123
23,2025-01-11,18.84,Medium,148
23,2025-01-12,28.68,High,141
23,2025-01-13,18.65,Low,137
23,2025-01-14,26.33,High,76
23,2025-01-15,25.47,Medium,118
23,2025-01-16,26.41,Low,129
23,2025-01-17,20.42,Low,51
23,2025-01-18,19.96,Medium,118
23,2025-01-19,23.88,High,130
23,2025-01-20,21.94,Low,113
23,2025-01-21,28.0,Low,93
23,2025-01-22,15.79,Medium,126
23,2025-01-23,20.76,High,120
23,2025-01-24,27.0,Low,107
23,2025-01-25,22.71,Medium,149
23,2025-01-26,29.19,Medium,150
23,2025-01-27,19.16,Medium,55
23,2025-01-28,26.19,Low,142
23,2025-01-29,21.5,High,74
23,2025-01-30,21.42,Medium,98
24,2025-01-01,22.47,High,73
24,2025-01-02,18.32,Low,119
24,2025-01-03,29.33,Medium,146
24,2025-01-04,18.58,Medium,139
24,2025-01-05,23.8,High,84
24,2025-01-06,28.65,Low,122
24,2025-01-07,23.39,High,70
24,2025-01-08,15.03,Medium,88
24,2025-01-09,28.67,Medium,51
24,2025-01-10,25.91,Medium,78
24,2025-01-11,28.13,Low,147
24,2025-01-12,27.76,High,101
24,2025-01-13,24.61,Medium,64
24,2025-01-14,17.37,Low,115
24,2025-01-15,17.81,Medium,117
24,2025-01-16,25.32,High,148
24,2025-01-17,23.13,High,51
24,2025-01-18,18.71,High,95
24,2025-01-19,20.9,Medium,121
24,2025-01-20,29.95,Medium,88
24,2025-01-21,24.35,Low,115
24,2025-01-22,19.62,Low,104
24,2025-01-23,29.76,Medium,92
24,2025-01-24,26.61,Medium,117
24,2025-01-25,25.35,Low,146
24,2025-01-26,15.49,Medium,147
24,2025-01-27,24.27,Low,62
24,2025-01-28,20.54,Low,135
24,2025-01-29,26.92,Medium,130
24,2025-01-30,21.91,Medium,131
25,2025-01-01,23.5,Low,106
25,2025-01-02,28.39,Low,128
25,2025-01-03,22.78,High,143
25,2025-01-04,18.5,Low,72
25,2025-01-05,22.11,Medium,113
25,2025-01-06,29.74,High,111
25,2025-01-07,19.1,High,54
25,2025-01-08,28.32,Medium,103
25,2025-01-09,27.74,Low,64
25,2025-01-10,16.69,Medium,115
25,2025-01-11,18.13,Medium,143
25,2025-01-12,19.81,Medium,104
25,2025-01-13,17.43,Medium,66
25,2025-01-14,29.51,Medium,52
25,2025-01-15,23.19,High,56
25,2025-01-16,16.05,Medium,60
25,2025-01-17,26.39,Low,89
25,2025-01-18,21.63,Low,118
25,2025-01-19,15.72,High,66
25,2025-01-20,29.28,Medium,50
25,2025-01-21,22.34,Low,145
25,2025-01-22,24.28,Medium,64
25,2025-01-23,21.13,Low,143
25,2025-01-24,21.93,Low,110
25,2025-01-25,16.91,Low,86
25,2025-01-26,16.86,Medium,110
25,2025-01-27,26.87,High,112
25,2025-01-28,26.51,Low,100
25,2025-01-29,26.4,High,139
25,2025-01-30,20.75,Medium,110
26,2025-01-01,23.82,Low,87
26,2025-01-02,24.86,Medium,133
26,2025-01-03,23.39,High,64
26,2025-01-04,21.58,Low,108
26,2025-01-05,26.81,Medium,94
26,2025-01-06,26.95,Low,89
26,2025-01-07,19.95,Low,65
26,2025-01-08,22.43,Medium,122
26,2025-01-09,26.15,Low,62
26,2025-01-10,17.84,High,143
26,2025-01-11,27.63,Medium,76
26,2025-01-12,26.96,High,64
26,2025-01-13,22.92,Medium,135
26,2025-01-14,28.03,Low,86
26,2025-01-15,20.32,Medium,91
26,2025-01-16,24.62,Medium,143
26,2025-01-17,29.89,Low,100
26,2025-01-18,25.85,Low,77
26,2025-01-19,27.26,Low,138
26,2025-01-20,15.37,High,111
26,2025-01-21,28.38,High,63
26,2025-01-22,20.51,Medium,55
26,2025-01-23,20.27,Medium,88
